Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet,Identifier
FDX32,15.1,0.1000135,145.4786,OUT049,1999,1589.2646,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,9,1142
FDS46,17.6,0.047257328,119.6782,OUT046,1997,2145.2076,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,904
FDF32,16.35,0.06802430000000001,196.4426,OUT013,1987,1977.4260000000002,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,375
FDP49,9.0,0.06908896099999999,56.3614,OUT046,1997,1547.3192,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,767
NCB42,11.8,0.008596051,115.3492,OUT018,2009,1621.8888,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,1280
FDP49,9.0,0.06919637599999999,54.3614,OUT049,1999,718.3982,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,9,767
DRI11,12.792854228644991,0.034237682,113.2834,OUT027,1985,2303.6679999999997,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,79
FDU02,13.35,0.10249212,230.5352,OUT035,2004,2748.4224,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,968
FDN22,18.85,0.138190277,250.8724,OUT013,1987,3775.086,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,666
FDW12,12.792854228644991,0.035399923,144.5444,OUT027,1985,4064.0432,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,1076
NCB30,14.6,0.025698133999999997,196.5084,OUT035,2004,1587.2672,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,1278
FDC37,12.792854228644991,0.057556998,107.6938,OUT019,1985,214.3876,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,259
FDR28,13.85,0.025896485,165.021,OUT046,1997,4078.025,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,843
NCD06,13.0,0.099887103,45.906000000000006,OUT017,2007,838.908,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1294
FDV10,7.645,0.06669343700000001,42.3112,OUT035,2004,1065.28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,6,1024
DRJ59,11.65,0.019356131999999998,39.1164,OUT013,1987,308.9312,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,101
FDE51,5.925,0.161466534,45.5086,OUT010,1998,178.4344,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,350
FDC14,12.792854228644991,0.072221801,43.6454,OUT019,1985,125.8362,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,244
FDV38,19.25,0.17034855100000001,55.7956,OUT010,1998,163.7868,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1048
NCS17,18.6,0.080829372,96.4436,OUT018,2009,2741.7644,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,1480
FDP33,18.7,0.0,256.6672,OUT018,2009,3068.0064,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,756
FDO23,17.85,0.0,93.1436,OUT045,2002,2174.5028,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,706
DRH01,17.5,0.097904029,174.8738,OUT046,1997,2085.2856,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,8,64
NCX29,10.0,0.08929113699999999,146.7102,OUT049,1999,3791.0652,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,1533
FDV20,12.792854228644991,0.059511812000000004,128.0678,OUT027,1985,2797.6916,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,1032
DRZ11,8.85,0.113123893,122.5388,OUT018,2009,1609.9044,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3,143
FDX10,12.792854228644991,0.12311145300000001,36.9874,OUT027,1985,388.1614,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,1124
FDB34,12.792854228644991,0.026480953999999998,87.6198,OUT027,1985,2180.495,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,214
FDU02,13.35,0.102511504,230.6352,OUT046,1997,3435.528,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,968
FDK43,9.8,0.02681843,126.00200000000001,OUT013,1987,2150.534,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,567
FDA46,13.6,0.117818348,192.9136,OUT049,1999,2527.3768,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,180
FDC02,21.35,0.06910283099999999,259.9278,OUT018,2009,6768.5228,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,236
FDL50,12.15,0.042277867000000004,126.5046,OUT013,1987,373.5138,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,611
FDM39,6.42,0.08949892599999999,178.1002,OUT010,1998,358.2004,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,641
NCP05,19.6,0.0,153.3024,OUT045,2002,2428.8384,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,1438
FDV49,10.0,0.025879577,265.2226,OUT045,2002,5815.0972,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,1057
FDL12,15.85,0.121632721,60.622,OUT046,1997,2576.646,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,586
FDS02,12.792854228644991,0.25539489600000004,196.8794,OUT019,1985,780.3176,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,869
NCL17,7.39,0.067779712,143.8812,OUT046,1997,3134.5864,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,1378
FDM40,10.195,0.159803853,141.5154,OUT013,1987,850.8924,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,642
FDR13,9.895,0.028696932,117.0492,OUT013,1987,810.9444,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,830
FDA43,10.895,0.065041581,196.3794,OUT017,2007,3121.2704,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,177
NCP18,12.15,0.028760012999999997,151.4708,OUT017,2007,4815.0656,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1442
FDK21,7.905,0.010053105,249.0408,OUT018,2009,6258.52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,553
NCX54,9.195,0.048157338,106.1622,OUT045,2002,2117.244,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,1538
DRK35,8.365,0.071958197,38.0506,OUT049,1999,796.9626,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,107
FDY21,15.1,0.17348130399999998,194.511,OUT046,1997,4910.275,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,1183
FDI26,12.792854228644991,0.061082177,180.0344,OUT019,1985,892.172,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,485
FDM20,10.0,0.0,246.9144,OUT018,2009,3185.1872,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,629
FDV27,7.97,0.040071131,87.3514,OUT045,2002,1062.6168,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,7,1039
FDF09,12.792854228644991,0.012090074,38.2848,OUT027,1985,484.7024,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,361
FDY40,12.792854228644991,0.15028599,51.0692,OUT019,1985,147.8076,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,1199
FDY45,12.792854228644991,0.026015518999999997,255.8356,OUT027,1985,2543.356,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,1202
FDC46,17.7,0.195068226,185.4266,OUT010,1998,184.4266,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,266
FDH19,19.35,0.033082215,172.5738,OUT035,2004,4865.6664,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,441
FDZ03,13.65,0.078946455,186.024,OUT045,2002,1118.5439999999999,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,7,1218
DRH37,17.6,0.041700756,164.8526,OUT045,2002,2302.3364,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,72
NCI17,8.645,0.14342264300000002,95.84100000000001,OUT046,1997,2027.361,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,1343
FDJ58,15.6,0.10529607199999999,170.1764,OUT046,1997,3435.528,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,541
FDL12,15.85,0.121531501,59.222,OUT013,1987,599.22,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,586
FDH35,18.25,0.0,164.7526,OUT045,2002,4604.6728,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,7,453
FDG02,7.855,0.011324862,189.6188,OUT017,2007,2285.0256,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,394
NCZ18,7.825,0.186357148,254.3698,OUT049,1999,5580.7356,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,1552
FDC29,8.39,0.024205661,114.0176,OUT046,1997,2290.3520000000003,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,254
FDQ10,12.85,0.033230816,172.3422,OUT049,1999,1207.0954,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,781
FDN48,12.792854228644991,0.113720344,89.9804,OUT019,1985,643.1628,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,682
FDL04,19.0,0.11255650699999999,104.9622,OUT017,2007,1587.933,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,582
FDV25,5.905,0.0,222.5456,OUT045,2002,5305.0944,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,1037
FDD58,7.76,0.05935224099999999,101.87,OUT046,1997,1697.79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,316
FDN04,11.8,0.014087057,180.3344,OUT046,1997,1427.4752,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,656
FDV45,16.75,0.045230944,187.9556,OUT018,2009,4693.89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,1053
NCL18,12.792854228644991,0.293417759,194.6136,OUT019,1985,583.2408,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,1379
FDR12,12.792854228644991,0.031382044,171.3764,OUT027,1985,3091.9752,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,829
FDG20,15.5,0.12639886,177.0028,OUT017,2007,2479.4392,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,404
FDZ55,6.055,0.025403897999999998,160.99200000000002,OUT035,2004,2716.4640000000004,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,1258
FDQ49,12.792854228644991,0.039057677,155.963,OUT027,1985,3285.723,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,811
FDN33,6.305,0.123115764,95.6436,OUT046,1997,661.8052,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,674
FDN27,20.85,0.039624006,117.2808,OUT049,1999,1523.3504,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,670
FDW20,20.75,0.040421193,122.17299999999999,OUT010,1998,369.519,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1082
DRG27,8.895,0.10527411099999999,39.9138,OUT049,1999,690.4346,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,57
DRI25,19.6,0.033970195,55.1614,OUT045,2002,1381.535,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,82
FDA44,19.7,0.053212652,57.893,OUT035,2004,622.523,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,178
NCR17,9.8,0.024378706,114.5492,OUT035,2004,1274.3412,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,1468
FDU04,12.792854228644991,0.009714595,120.0414,OUT019,1985,487.3656,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,970
FDF41,12.15,0.131383762,246.046,OUT049,1999,1231.73,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,382
FDB56,8.75,0.07461309,187.4556,OUT035,2004,3755.112,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,6,231
NCP18,12.792854228644991,0.028459761,149.9708,OUT027,1985,4363.6532,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,1442
FDB56,8.75,0.07462720099999999,187.8556,OUT046,1997,1314.2892,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,8,231
FDT28,13.3,0.063695084,151.0708,OUT045,2002,1805.6496,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,940
FDD10,12.792854228644991,0.045797829000000005,178.5344,OUT027,1985,2854.9504,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5,284
FDW57,8.31,0.11585722300000001,179.1028,OUT049,1999,3896.2616,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,9,1113
DRB48,16.75,0.024832806000000002,38.7822,OUT013,1987,667.7974,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,7
FDP09,19.75,0.034027909,212.0902,OUT018,2009,3185.853,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,737
FDH14,17.1,0.046769599999999995,141.1838,OUT013,1987,2247.7408,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,438
FDA47,10.5,0.11657670199999999,163.121,OUT013,1987,1794.3310000000001,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,181
FDG12,6.635,0.0,121.3098,OUT045,2002,2530.7058,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,7,400
DRE60,12.792854228644991,0.278974075,225.372,OUT019,1985,679.1160000000001,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4,36
DRK49,14.15,0.035913805,41.4138,OUT013,1987,812.2760000000001,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,111
FDD03,13.3,0.079806266,232.53,OUT046,1997,699.09,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,279
FDS52,8.89,0.005505481,102.4016,OUT017,2007,2732.4432,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,910
FDW39,12.792854228644991,0.064625342,176.937,OUT019,1985,176.437,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,4,1099
FDX34,12.792854228644991,0.071636937,121.7098,OUT027,1985,4097.3332,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,1144
FDV11,9.1,0.0,173.2054,OUT045,2002,3151.8972,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,7,1025
FDD17,7.5,0.032677677999999995,239.0906,OUT049,1999,5942.265,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9,288
FDZ16,16.85,0.160760054,192.4478,OUT017,2007,4843.695,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,1228
FDZ46,7.485,0.06911065,109.0228,OUT035,2004,2542.0244,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,1251
DRA12,11.6,0.041177505,140.3154,OUT017,2007,2552.6772,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0
FDY58,11.65,0.040081193,227.0694,OUT018,2009,1141.847,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,1213
NCF19,13.0,0.035307322,47.5034,OUT017,2007,680.4476,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1317
DRJ13,12.65,0.063017847,159.0578,OUT045,2002,2085.9514,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,91
FDB14,20.25,0.171938781,92.512,OUT010,1998,186.424,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,200
FDJ38,8.6,0.040197932,190.153,OUT035,2004,3036.048,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,6,528
FDW11,12.6,0.049058014000000004,62.7194,OUT017,2007,866.8716,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1075
FDL40,17.7,0.01161096,95.041,OUT035,2004,868.8689999999999,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,6,605
DRI49,14.15,0.183507295,82.4276,OUT046,1997,1137.1864,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,8,86
FDV38,19.25,0.102349519,52.7956,OUT017,2007,928.1252,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1048
DRG23,8.88,0.08670898699999999,151.7682,OUT013,1987,762.341,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,55
NCP30,20.5,0.032835147,40.2822,OUT045,2002,707.0796,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,7,1444
FDY25,12.792854228644991,0.033809913,180.5976,OUT027,1985,7968.2944,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,1186
NCH54,13.5,0.07266912,160.292,OUT046,1997,1438.128,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,8,1340
NCR53,12.792854228644991,0.144338493,224.4404,OUT027,1985,6976.2524,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,1476
FDS52,8.89,0.009163216,101.7016,OUT010,1998,101.2016,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,910
